,ds,price
0,2022-11-04,17793.046385256355
1,2022-11-05,17669.085352659815
2,2022-11-06,17619.22500527737
3,2022-11-07,16196.605240103361
4,2022-11-08,18219.527604793093
5,2022-11-09,18149.397480470077
6,2022-11-10,18039.864291802834
7,2022-11-11,17682.051368778204
8,2022-11-12,17408.23170156453
9,2022-11-13,17220.077884955328
10,2022-11-14,15661.471156193897
11,2022-11-15,17540.4013649495
12,2022-11-16,17323.86735225466
13,2022-11-17,17091.45564685125
14,2022-11-18,16666.856935981992
15,2022-11-21,14855.433482905664
16,2022-11-22,16887.331409952698
17,2022-11-23,16844.53122291847
18,2022-11-24,16805.25717892538
19,2022-11-25,16585.522482240423
20,2022-11-26,16517.551665624982
21,2022-11-27,16577.737780970823
22,2022-11-28,15282.385793433074
23,2022-11-29,17430.903920315537
24,2022-11-30,17497.87975234455
25,2022-12-01,17562.562757800544
26,2022-12-02,17420.51740737922
27,2022-12-03,17373.492668899104
28,2022-12-04,17377.89137604713
29,2022-12-05,15952.590532300732
30,2022-12-06,17916.889928539716
31,2022-12-07,17767.38572052214
32,2022-12-08,17597.58775017475
33,2022-12-09,17212.78433141612
34,2022-12-10,16929.32970987392
35,2022-12-11,16725.440110964177
36,2022-12-12,15139.205580666974
37,2022-12-13,16993.70750743007
38,2022-12-14,16772.174999378363
39,2022-12-15,16551.175951585814
40,2022-12-16,16133.134153572908
41,2022-12-17,15850.876637976378
42,2022-12-18,15705.585173669017
43,2022-12-19,14244.931807122415
44,2022-12-20,16278.945676506915
45,2022-12-21,16264.140085149174
46,2022-12-22,16254.56225296084
47,2022-12-23,16044.32434619841
48,2022-12-24,15966.573745023055
49,2022-12-25,16018.54886706834
