,date,도매가격
1504,2016-11-11,4251.0
1817,2016-11-12,4251.0
1818,2016-11-13,4251.0
1503,2016-11-14,4436.0
1502,2016-11-15,4466.0
1501,2016-11-16,4485.0
1500,2016-11-17,4301.0
1499,2016-11-18,4315.0
1819,2016-11-19,4315.0
1820,2016-11-20,4315.0
1498,2016-11-21,4454.0
1497,2016-11-22,4377.0
1496,2016-11-23,4202.0
1495,2016-11-24,4260.0
1494,2016-11-25,4265.0
1821,2016-11-26,4265.0
1822,2016-11-27,4265.0
1493,2016-11-28,4448.0
1492,2016-11-29,4326.0
1491,2016-11-30,4408.0
1490,2016-12-01,4359.0
1489,2016-12-02,4404.0
1823,2016-12-03,4404.0
1824,2016-12-04,4404.0
1488,2016-12-05,4627.0
1487,2016-12-06,4508.0
1486,2016-12-07,4403.0
1485,2016-12-08,4449.0
1484,2016-12-09,4299.0
1825,2016-12-10,4299.0
1826,2016-12-11,4299.0
1483,2016-12-12,4432.0
1482,2016-12-13,4370.0
1481,2016-12-14,4347.0
1480,2016-12-15,4238.0
1479,2016-12-16,4023.0
1827,2016-12-17,4023.0
1828,2016-12-18,4023.0
1478,2016-12-19,4270.0
1477,2016-12-20,4176.0
1476,2016-12-21,4093.0
1475,2016-12-22,3988.0
1474,2016-12-23,3956.0
1829,2016-12-24,3956.0
1830,2016-12-25,3956.0
1473,2016-12-26,4112.0
1472,2016-12-27,4025.0
1471,2016-12-28,4037.0
1470,2016-12-29,3978.0
1469,2016-12-30,4009.0
1831,2016-12-31,4009.0
1832,2017-01-01,4009.0
1468,2017-01-02,4418.0
1467,2017-01-03,4427.0
1466,2017-01-04,4463.0
1465,2017-01-05,4473.0
1464,2017-01-06,4566.0
1833,2017-01-07,4566.0
1834,2017-01-08,4566.0
1463,2017-01-09,4601.0
1462,2017-01-10,4552.0
1461,2017-01-11,4615.0
1460,2017-01-12,4631.0
1459,2017-01-13,4495.0
1835,2017-01-14,4495.0
1836,2017-01-15,4495.0
1458,2017-01-16,4709.0
1457,2017-01-17,4657.0
1456,2017-01-18,4625.0
1455,2017-01-19,4560.0
1454,2017-01-20,4473.0
1837,2017-01-21,4473.0
1838,2017-01-22,4473.0
1453,2017-01-23,4353.0
1452,2017-01-24,4202.0
1451,2017-01-25,3984.0
1839,2017-01-26,3984.0
1840,2017-01-27,3984.0
1841,2017-01-28,3984.0
1842,2017-01-29,3984.0
1843,2017-01-30,3984.0
1450,2017-01-31,4329.0
1449,2017-02-01,4346.0
1448,2017-02-02,4216.0
1447,2017-02-03,4251.0
1844,2017-02-04,4251.0
1845,2017-02-05,4251.0
1446,2017-02-06,4442.0
1445,2017-02-07,4440.0
1444,2017-02-08,4757.0
1443,2017-02-09,4486.0
1442,2017-02-10,4450.0
1846,2017-02-11,4450.0
1847,2017-02-12,4450.0
1441,2017-02-13,4522.0
1440,2017-02-14,4483.0
1439,2017-02-15,4417.0
1438,2017-02-16,4292.0
1437,2017-02-17,4216.0
1848,2017-02-18,4216.0
1849,2017-02-19,4216.0
1436,2017-02-20,4558.0
1435,2017-02-21,4341.0
1434,2017-02-22,4303.0
1433,2017-02-23,4445.0
1432,2017-02-24,4442.0
1850,2017-02-25,4442.0
1851,2017-02-26,4442.0
1431,2017-02-27,4736.0
1430,2017-02-28,4647.0
1852,2017-03-01,4647.0
1429,2017-03-02,4572.0
1428,2017-03-03,4580.0
1853,2017-03-04,4580.0
1854,2017-03-05,4580.0
1427,2017-03-06,4693.0
1426,2017-03-07,4624.0
1425,2017-03-08,4667.0
1424,2017-03-09,4665.0
1423,2017-03-10,4465.0
1855,2017-03-11,4465.0
1856,2017-03-12,4465.0
1422,2017-03-13,4803.0
1421,2017-03-14,4725.0
1420,2017-03-15,4668.0
1419,2017-03-16,4459.0
1418,2017-03-17,4537.0
1857,2017-03-18,4537.0
1858,2017-03-19,4537.0
1417,2017-03-20,4465.0
1416,2017-03-21,4562.0
1415,2017-03-22,4560.0
1414,2017-03-23,4512.0
1413,2017-03-24,4460.0
1859,2017-03-25,4460.0
1860,2017-03-26,4460.0
1412,2017-03-27,4690.0
1411,2017-03-28,4596.0
1410,2017-03-29,4650.0
1409,2017-03-30,4608.0
1408,2017-03-31,4288.0
1861,2017-04-01,4288.0
1862,2017-04-02,4288.0
1407,2017-04-03,4757.0
1406,2017-04-04,4704.0
1405,2017-04-05,4714.0
1404,2017-04-06,4768.0
1403,2017-04-07,4711.0
1863,2017-04-08,4711.0
1864,2017-04-09,4711.0
1402,2017-04-10,4859.0
1401,2017-04-11,4892.0
1400,2017-04-12,4834.0
1399,2017-04-13,4908.0
1398,2017-04-14,4885.0
1865,2017-04-15,4885.0
1866,2017-04-16,4885.0
1397,2017-04-17,5012.0
1396,2017-04-18,5063.0
1395,2017-04-19,5013.0
1394,2017-04-20,5123.0
1393,2017-04-21,4983.0
1867,2017-04-22,4983.0
1868,2017-04-23,4983.0
1392,2017-04-24,5374.0
1391,2017-04-25,5462.0
1390,2017-04-26,5547.0
1389,2017-04-27,5474.0
1388,2017-04-28,5259.0
1869,2017-04-29,5259.0
1870,2017-04-30,5259.0
1871,2017-05-01,5259.0
1387,2017-05-02,5270.0
1872,2017-05-03,5270.0
1386,2017-05-04,4752.0
1873,2017-05-05,4752.0
1874,2017-05-06,4752.0
1875,2017-05-07,4752.0
1385,2017-05-08,4988.0
1876,2017-05-09,4988.0
1384,2017-05-10,5056.0
1383,2017-05-11,4846.0
1382,2017-05-12,4863.0
1877,2017-05-13,4863.0
1878,2017-05-14,4863.0
1381,2017-05-15,5032.0
1380,2017-05-16,5068.0
1379,2017-05-17,5100.0
1378,2017-05-18,5011.0
1377,2017-05-19,4723.0
1879,2017-05-20,4723.0
1880,2017-05-21,4723.0
1376,2017-05-22,5240.0
1375,2017-05-23,5190.0
1374,2017-05-24,5137.0
1373,2017-05-25,5098.0
1372,2017-05-26,4949.0
1881,2017-05-27,4949.0
1882,2017-05-28,4949.0
1371,2017-05-29,5235.0
1370,2017-05-30,5138.0
1369,2017-05-31,5183.0
1368,2017-06-01,5257.0
1367,2017-06-02,5188.0
1883,2017-06-03,5188.0
1884,2017-06-04,5188.0
1366,2017-06-05,5527.0
1885,2017-06-06,5527.0
1365,2017-06-07,5605.0
1364,2017-06-08,5559.0
1363,2017-06-09,5518.0
1886,2017-06-10,5518.0
1887,2017-06-11,5518.0
1362,2017-06-12,5656.0
1361,2017-06-13,5636.0
1360,2017-06-14,5613.0
1359,2017-06-15,5641.0
1358,2017-06-16,5516.0
1888,2017-06-17,5516.0
1889,2017-06-18,5516.0
1357,2017-06-19,5705.0
1356,2017-06-20,5701.0
1355,2017-06-21,5689.0
1354,2017-06-22,5678.0
1353,2017-06-23,5220.0
1890,2017-06-24,5220.0
1891,2017-06-25,5220.0
1352,2017-06-26,5692.0
1351,2017-06-27,5574.0
1350,2017-06-28,5599.0
1349,2017-06-29,5410.0
1348,2017-06-30,5391.0
1892,2017-07-01,5391.0
1893,2017-07-02,5391.0
1347,2017-07-03,5615.0
1346,2017-07-04,5681.0
1345,2017-07-05,5584.0
1344,2017-07-06,5477.0
1343,2017-07-07,4971.0
1894,2017-07-08,4971.0
1895,2017-07-09,4971.0
1342,2017-07-10,5640.0
1341,2017-07-11,5447.0
1340,2017-07-12,5516.0
1339,2017-07-13,5449.0
1338,2017-07-14,5310.0
1896,2017-07-15,5310.0
1897,2017-07-16,5310.0
1337,2017-07-17,5552.0
1336,2017-07-18,5457.0
1335,2017-07-19,5358.0
1334,2017-07-20,5201.0
1333,2017-07-21,4921.0
1898,2017-07-22,4921.0
1899,2017-07-23,4921.0
1332,2017-07-24,5081.0
1331,2017-07-25,5091.0
1330,2017-07-26,5214.0
1329,2017-07-27,4808.0
1328,2017-07-28,4641.0
1900,2017-07-29,4641.0
1901,2017-07-30,4641.0
1327,2017-07-31,4881.0
1326,2017-08-01,5093.0
1325,2017-08-02,5308.0
1324,2017-08-03,5358.0
1323,2017-08-04,5280.0
1902,2017-08-05,5280.0
1903,2017-08-06,5280.0
1322,2017-08-07,5732.0
1321,2017-08-08,5598.0
1320,2017-08-09,5375.0
1319,2017-08-10,5217.0
1318,2017-08-11,4816.0
1904,2017-08-12,4816.0
1905,2017-08-13,4816.0
1317,2017-08-14,5354.0
1906,2017-08-15,5354.0
1316,2017-08-16,5444.0
1315,2017-08-17,5291.0
1314,2017-08-18,5280.0
1907,2017-08-19,5280.0
1908,2017-08-20,5280.0
1313,2017-08-21,5627.0
1312,2017-08-22,5533.0
1311,2017-08-23,5498.0
1310,2017-08-24,5408.0
1309,2017-08-25,5153.0
1909,2017-08-26,5153.0
1910,2017-08-27,5153.0
1308,2017-08-28,5735.0
1307,2017-08-29,5555.0
1306,2017-08-30,5505.0
1305,2017-08-31,5366.0
1304,2017-09-01,5320.0
1911,2017-09-02,5320.0
1912,2017-09-03,5320.0
1303,2017-09-04,5944.0
1302,2017-09-05,5823.0
1301,2017-09-06,5712.0
1300,2017-09-07,5798.0
1299,2017-09-08,5699.0
1913,2017-09-09,5699.0
1914,2017-09-10,5699.0
1298,2017-09-11,5935.0
1297,2017-09-12,5745.0
1296,2017-09-13,5756.0
1295,2017-09-14,5554.0
1294,2017-09-15,5449.0
1915,2017-09-16,5449.0
1916,2017-09-17,5449.0
1293,2017-09-18,5649.0
1292,2017-09-19,5589.0
1291,2017-09-20,5386.0
1290,2017-09-21,4972.0
1289,2017-09-22,4931.0
1917,2017-09-23,4931.0
1918,2017-09-24,4931.0
1288,2017-09-25,4820.0
1287,2017-09-26,4531.0
1286,2017-09-27,4624.0
1285,2017-09-28,4488.0
1284,2017-09-29,4500.0
1919,2017-09-30,4500.0
1920,2017-10-01,4500.0
1921,2017-10-02,4500.0
1922,2017-10-03,4500.0
1923,2017-10-04,4500.0
1924,2017-10-05,4500.0
1925,2017-10-06,4500.0
1926,2017-10-07,4500.0
1927,2017-10-08,4500.0
1928,2017-10-09,4500.0
1283,2017-10-10,4684.0
1282,2017-10-11,4327.0
1281,2017-10-12,3988.0
1280,2017-10-13,4080.0
1929,2017-10-14,4080.0
1930,2017-10-15,4080.0
1279,2017-10-16,4202.0
1278,2017-10-17,4155.0
1277,2017-10-18,4096.0
1276,2017-10-19,4071.0
1275,2017-10-20,3934.0
1931,2017-10-21,3934.0
1932,2017-10-22,3934.0
1274,2017-10-23,4093.0
1273,2017-10-24,4031.0
1272,2017-10-25,4020.0
1271,2017-10-26,4040.0
1270,2017-10-27,3983.0
1933,2017-10-28,3983.0
1934,2017-10-29,3983.0
1269,2017-10-30,4185.0
1268,2017-10-31,4100.0
1267,2017-11-01,4188.0
1266,2017-11-02,4140.0
1265,2017-11-03,4139.0
1935,2017-11-04,4139.0
1936,2017-11-05,4139.0
1264,2017-11-06,4462.0
1263,2017-11-07,4410.0
1262,2017-11-08,4382.0
1261,2017-11-09,4324.0
1260,2017-11-10,4044.0
1937,2017-11-11,4044.0
1938,2017-11-12,4044.0
1259,2017-11-13,4468.0
1258,2017-11-14,4447.0
1257,2017-11-15,4410.0
1256,2017-11-16,4432.0
1255,2017-11-17,4283.0
1939,2017-11-18,4283.0
1940,2017-11-19,4283.0
1254,2017-11-20,4521.0
1253,2017-11-21,4501.0
1252,2017-11-22,4451.0
1251,2017-11-23,4451.0
1250,2017-11-24,4354.0
1941,2017-11-25,4354.0
1942,2017-11-26,4354.0
1249,2017-11-27,4539.0
1248,2017-11-28,4576.0
1247,2017-11-29,4477.0
1246,2017-11-30,4394.0
1245,2017-12-01,4325.0
1943,2017-12-02,4325.0
1944,2017-12-03,4325.0
1244,2017-12-04,4628.0
1243,2017-12-05,4578.0
1242,2017-12-06,4535.0
1241,2017-12-07,4553.0
1240,2017-12-08,4319.0
1945,2017-12-09,4319.0
1946,2017-12-10,4319.0
1239,2017-12-11,4465.0
1238,2017-12-12,4342.0
1237,2017-12-13,4292.0
1236,2017-12-14,4151.0
1235,2017-12-15,4010.0
1947,2017-12-16,4010.0
1948,2017-12-17,4010.0
1234,2017-12-18,4275.0
1233,2017-12-19,4225.0
1232,2017-12-20,4334.0
1231,2017-12-21,4228.0
1230,2017-12-22,4127.0
1949,2017-12-23,4127.0
1950,2017-12-24,4127.0
1951,2017-12-25,4127.0
1229,2017-12-26,4153.0
1228,2017-12-27,4121.0
1227,2017-12-28,4001.0
1226,2017-12-29,3803.0
1952,2017-12-30,3803.0
1953,2017-12-31,3803.0
1954,2018-01-01,3803.0
1225,2018-01-02,4104.0
1224,2018-01-03,4049.0
1223,2018-01-04,3920.0
1222,2018-01-05,3917.0
1955,2018-01-06,3917.0
1956,2018-01-07,3917.0
1221,2018-01-08,4090.0
1220,2018-01-09,4079.0
1219,2018-01-10,4162.0
1218,2018-01-11,4043.0
1217,2018-01-12,3814.0
1957,2018-01-13,3814.0
1958,2018-01-14,3814.0
1216,2018-01-15,4122.0
1215,2018-01-16,4092.0
1214,2018-01-17,3962.0
1213,2018-01-18,3941.0
1212,2018-01-19,3972.0
1959,2018-01-20,3972.0
1960,2018-01-21,3972.0
1211,2018-01-22,3988.0
1210,2018-01-23,4014.0
1209,2018-01-24,4015.0
1208,2018-01-25,3946.0
1207,2018-01-26,3858.0
1961,2018-01-27,3858.0
1962,2018-01-28,3858.0
1206,2018-01-29,4158.0
1205,2018-01-30,4246.0
1204,2018-01-31,4267.0
1203,2018-02-01,4273.0
1202,2018-02-02,4348.0
1963,2018-02-03,4348.0
1964,2018-02-04,4348.0
1201,2018-02-05,4672.0
1200,2018-02-06,4624.0
1199,2018-02-07,4560.0
1198,2018-02-08,4362.0
1197,2018-02-09,4253.0
1965,2018-02-10,4253.0
1966,2018-02-11,4253.0
1196,2018-02-12,4188.0
1195,2018-02-13,3798.0
1967,2018-02-14,3798.0
1968,2018-02-15,3798.0
1969,2018-02-16,3798.0
1970,2018-02-17,3798.0
1971,2018-02-18,3798.0
1194,2018-02-19,3962.0
1193,2018-02-20,3882.0
1192,2018-02-21,3792.0
1191,2018-02-22,3731.0
1190,2018-02-23,3743.0
1972,2018-02-24,3743.0
1973,2018-02-25,3743.0
1189,2018-02-26,4018.0
1188,2018-02-27,4014.0
1187,2018-02-28,3879.0
1974,2018-03-01,3879.0
1186,2018-03-02,4075.0
1975,2018-03-03,4075.0
1976,2018-03-04,4075.0
1185,2018-03-05,4044.0
1184,2018-03-06,3995.0
1183,2018-03-07,3991.0
1182,2018-03-08,3865.0
1181,2018-03-09,3816.0
1977,2018-03-10,3816.0
1978,2018-03-11,3816.0
1180,2018-03-12,3987.0
1179,2018-03-13,3884.0
1178,2018-03-14,3944.0
1177,2018-03-15,3815.0
1176,2018-03-16,3720.0
1979,2018-03-17,3720.0
1980,2018-03-18,3720.0
1175,2018-03-19,4009.0
1174,2018-03-20,3898.0
1173,2018-03-21,4091.0
1172,2018-03-22,4049.0
1171,2018-03-23,3955.0
1981,2018-03-24,3955.0
1982,2018-03-25,3955.0
1170,2018-03-26,4219.0
1169,2018-03-27,4721.0
1168,2018-03-28,5241.0
1167,2018-03-29,4651.0
1166,2018-03-30,4411.0
1983,2018-03-31,4411.0
1984,2018-04-01,4411.0
1165,2018-04-02,4440.0
1164,2018-04-03,4321.0
1163,2018-04-04,4308.0
1162,2018-04-05,4104.0
1161,2018-04-06,4142.0
1985,2018-04-07,4142.0
1986,2018-04-08,4142.0
1160,2018-04-09,4290.0
1159,2018-04-10,4354.0
1158,2018-04-11,4396.0
1157,2018-04-12,4300.0
1156,2018-04-13,4180.0
1987,2018-04-14,4180.0
1988,2018-04-15,4180.0
1155,2018-04-16,4423.0
1154,2018-04-17,4452.0
1153,2018-04-18,4514.0
1152,2018-04-19,4552.0
1151,2018-04-20,4491.0
1989,2018-04-21,4491.0
1990,2018-04-22,4491.0
1150,2018-04-23,4763.0
1149,2018-04-24,4811.0
1148,2018-04-25,4828.0
1147,2018-04-26,4753.0
1146,2018-04-27,4747.0
1991,2018-04-28,4747.0
1992,2018-04-29,4747.0
1145,2018-04-30,4953.0
1144,2018-05-01,4572.0
1143,2018-05-02,4988.0
1142,2018-05-03,5043.0
1141,2018-05-04,4691.0
1993,2018-05-05,4691.0
1994,2018-05-06,4691.0
1140,2018-05-07,4553.0
1139,2018-05-08,4931.0
1138,2018-05-09,4849.0
1137,2018-05-10,4859.0
1136,2018-05-11,4629.0
1995,2018-05-12,4629.0
1996,2018-05-13,4629.0
1135,2018-05-14,4867.0
1134,2018-05-15,4869.0
1133,2018-05-16,4844.0
1132,2018-05-17,4799.0
1131,2018-05-18,4694.0
1997,2018-05-19,4694.0
1998,2018-05-20,4694.0
1130,2018-05-21,4886.0
1129,2018-05-22,4556.0
1128,2018-05-23,4803.0
1127,2018-05-24,4766.0
1126,2018-05-25,4904.0
1999,2018-05-26,4904.0
2000,2018-05-27,4904.0
1125,2018-05-28,4846.0
1124,2018-05-29,4869.0
1123,2018-05-30,4853.0
1122,2018-05-31,4934.0
1121,2018-06-01,4948.0
2001,2018-06-02,4948.0
2002,2018-06-03,4948.0
1120,2018-06-04,5055.0
1119,2018-06-05,5055.0
2003,2018-06-06,5055.0
1118,2018-06-07,5085.0
1117,2018-06-08,5091.0
2004,2018-06-09,5091.0
2005,2018-06-10,5091.0
1116,2018-06-11,5374.0
1115,2018-06-12,5289.0
2006,2018-06-13,5289.0
1114,2018-06-14,5309.0
1113,2018-06-15,5281.0
2007,2018-06-16,5281.0
2008,2018-06-17,5281.0
1112,2018-06-18,5402.0
1111,2018-06-19,5449.0
1110,2018-06-20,5384.0
1109,2018-06-21,5429.0
1108,2018-06-22,5523.0
2009,2018-06-23,5523.0
2010,2018-06-24,5523.0
1107,2018-06-25,5692.0
1106,2018-06-26,5552.0
1105,2018-06-27,5484.0
1104,2018-06-28,5495.0
1103,2018-06-29,5517.0
2011,2018-06-30,5517.0
2012,2018-07-01,5517.0
1102,2018-07-02,5845.0
1101,2018-07-03,5843.0
1100,2018-07-04,5794.0
1099,2018-07-05,5830.0
1098,2018-07-06,5785.0
2013,2018-07-07,5785.0
2014,2018-07-08,5785.0
1097,2018-07-09,6016.0
1096,2018-07-10,5903.0
1095,2018-07-11,5922.0
1094,2018-07-12,5905.0
1093,2018-07-13,5769.0
2015,2018-07-14,5769.0
2016,2018-07-15,5769.0
1092,2018-07-16,5594.0
1091,2018-07-17,5499.0
1090,2018-07-18,5571.0
1089,2018-07-19,5393.0
1088,2018-07-20,5074.0
2017,2018-07-21,5074.0
2018,2018-07-22,5074.0
1087,2018-07-23,5093.0
1086,2018-07-24,4803.0
1085,2018-07-25,4709.0
1084,2018-07-26,4623.0
1083,2018-07-27,4399.0
2019,2018-07-28,4399.0
2020,2018-07-29,4399.0
1082,2018-07-30,4652.0
1081,2018-07-31,4618.0
1080,2018-08-01,4766.0
1079,2018-08-02,4748.0
1078,2018-08-03,4713.0
2021,2018-08-04,4713.0
2022,2018-08-05,4713.0
1077,2018-08-06,5124.0
1076,2018-08-07,5025.0
1075,2018-08-08,5199.0
1074,2018-08-09,5108.0
1073,2018-08-10,4730.0
2023,2018-08-11,4730.0
2024,2018-08-12,4730.0
1072,2018-08-13,5284.0
1071,2018-08-14,5115.0
2025,2018-08-15,5115.0
1070,2018-08-16,5144.0
1069,2018-08-17,5092.0
2026,2018-08-18,5092.0
2027,2018-08-19,5092.0
1068,2018-08-20,5356.0
1067,2018-08-21,5230.0
1066,2018-08-22,5192.0
1065,2018-08-23,5056.0
1064,2018-08-24,5204.0
2028,2018-08-25,5204.0
2029,2018-08-26,5204.0
1063,2018-08-27,5417.0
1062,2018-08-28,5355.0
1061,2018-08-29,5534.0
1060,2018-08-30,5571.0
1059,2018-08-31,5320.0
2030,2018-09-01,5320.0
2031,2018-09-02,5320.0
1058,2018-09-03,5755.0
1057,2018-09-04,5567.0
1056,2018-09-05,5525.0
1055,2018-09-06,5583.0
1054,2018-09-07,5438.0
2032,2018-09-08,5438.0
2033,2018-09-09,5438.0
1053,2018-09-10,5756.0
1052,2018-09-11,5726.0
1051,2018-09-12,5687.0
1050,2018-09-13,5778.0
1049,2018-09-14,5694.0
2034,2018-09-15,5694.0
2035,2018-09-16,5694.0
1048,2018-09-17,5639.0
1047,2018-09-18,5372.0
1046,2018-09-19,4918.0
1045,2018-09-20,4633.0
1044,2018-09-21,4420.0
2036,2018-09-22,4420.0
2037,2018-09-23,4420.0
2038,2018-09-24,4420.0
2039,2018-09-25,4420.0
2040,2018-09-26,4420.0
2041,2018-09-27,4420.0
1043,2018-09-28,5211.0
2042,2018-09-29,5211.0
2043,2018-09-30,5211.0
1042,2018-10-01,5094.0
1041,2018-10-02,4842.0
2044,2018-10-03,4842.0
1040,2018-10-04,4707.0
1039,2018-10-05,4670.0
2045,2018-10-06,4670.0
2046,2018-10-07,4670.0
1038,2018-10-08,4700.0
2047,2018-10-09,4700.0
1037,2018-10-10,4483.0
1036,2018-10-11,4297.0
1035,2018-10-12,4206.0
2048,2018-10-13,4206.0
2049,2018-10-14,4206.0
1034,2018-10-15,4054.0
1033,2018-10-16,4054.0
1032,2018-10-17,4033.0
1031,2018-10-18,3852.0
1030,2018-10-19,3858.0
2050,2018-10-20,3858.0
2051,2018-10-21,3858.0
1029,2018-10-22,4046.0
1028,2018-10-23,4013.0
1027,2018-10-24,3943.0
1026,2018-10-25,3918.0
1025,2018-10-26,3877.0
2052,2018-10-27,3877.0
2053,2018-10-28,3877.0
1024,2018-10-29,3802.0
1023,2018-10-30,3779.0
1022,2018-10-31,3804.0
1021,2018-11-01,3765.0
1020,2018-11-02,3685.0
2054,2018-11-03,3685.0
2055,2018-11-04,3685.0
1019,2018-11-05,3829.0
1018,2018-11-06,3868.0
1017,2018-11-07,3790.0
1016,2018-11-08,3850.0
1015,2018-11-09,3781.0
2056,2018-11-10,3781.0
2057,2018-11-11,3781.0
1014,2018-11-12,3910.0
1013,2018-11-13,3856.0
1012,2018-11-14,3771.0
1011,2018-11-15,3840.0
1010,2018-11-16,3826.0
2058,2018-11-17,3826.0
2059,2018-11-18,3826.0
1009,2018-11-19,3862.0
1008,2018-11-20,3811.0
1007,2018-11-21,3933.0
1006,2018-11-22,3979.0
1005,2018-11-23,3923.0
2060,2018-11-24,3923.0
2061,2018-11-25,3923.0
1004,2018-11-26,3964.0
1003,2018-11-27,3858.0
1002,2018-11-28,3966.0
1001,2018-11-29,3944.0
