,date,도매가격
1706,2016-01-04,17343.0
1705,2016-01-05,18445.0
1704,2016-01-06,18813.0
1703,2016-01-07,18905.0
1702,2016-01-08,18950.0
1701,2016-01-11,18735.0
1700,2016-01-12,19183.0
1699,2016-01-13,19168.0
1698,2016-01-14,19157.0
1697,2016-01-15,18909.0
1696,2016-01-18,18728.0
1695,2016-01-19,19215.0
1694,2016-01-20,18995.0
1693,2016-01-21,18963.0
1692,2016-01-22,18664.0
1691,2016-01-25,18014.0
1690,2016-01-26,18186.0
1689,2016-01-27,18038.0
1688,2016-01-28,17874.0
1687,2016-01-29,17497.0
1686,2016-02-01,17243.0
1685,2016-02-02,17741.0
1684,2016-02-03,17763.0
1683,2016-02-04,17711.0
1682,2016-02-05,17912.0
1681,2016-02-11,17912.0
1680,2016-02-12,18449.0
1679,2016-02-15,18200.0
1678,2016-02-16,18176.0
1677,2016-02-17,18049.0
1676,2016-02-18,17693.0
1675,2016-02-19,17435.0
1674,2016-02-22,17570.0
1673,2016-02-23,17735.0
1672,2016-02-24,17654.0
1671,2016-02-25,17921.0
1670,2016-02-26,18134.0
1669,2016-02-29,18206.0
1668,2016-03-02,18577.0
1667,2016-03-03,18823.0
1666,2016-03-04,19164.0
1665,2016-03-07,19440.0
1664,2016-03-08,19380.0
1663,2016-03-09,19144.0
1662,2016-03-10,18921.0
1661,2016-03-11,18608.0
1660,2016-03-14,18824.0
1659,2016-03-15,18638.0
1658,2016-03-16,18225.0
1657,2016-03-17,17734.0
1656,2016-03-18,17682.0
1655,2016-03-21,17929.0
1654,2016-03-22,17880.0
1653,2016-03-23,17878.0
1652,2016-03-24,17824.0
1651,2016-03-25,17599.0
1650,2016-03-28,17958.0
1649,2016-03-29,17957.0
1648,2016-03-30,18195.0
1647,2016-03-31,18434.0
1646,2016-04-01,18350.0
1645,2016-04-04,17893.0
1644,2016-04-05,18941.0
1643,2016-04-06,18952.0
1642,2016-04-07,18852.0
1641,2016-04-08,18874.0
1640,2016-04-11,19749.0
1639,2016-04-12,19500.0
1638,2016-04-14,19315.0
1637,2016-04-15,19022.0
1636,2016-04-18,19268.0
1635,2016-04-19,19561.0
1634,2016-04-20,19330.0
1633,2016-04-21,19102.0
1632,2016-04-22,18497.0
1631,2016-04-25,18804.0
1630,2016-04-26,18760.0
1629,2016-04-27,18470.0
1628,2016-04-28,18423.0
1627,2016-04-29,18238.0
1626,2016-05-02,18370.0
1625,2016-05-03,18684.0
1624,2016-05-04,18226.0
1623,2016-05-09,17476.0
1622,2016-05-10,18456.0
1621,2016-05-11,18414.0
1620,2016-05-12,18272.0
1619,2016-05-13,17973.0
1618,2016-05-16,18010.0
1617,2016-05-17,18398.0
1616,2016-05-18,18590.0
1615,2016-05-19,18487.0
1614,2016-05-20,18898.0
1613,2016-05-23,18714.0
1612,2016-05-24,18775.0
1611,2016-05-25,18848.0
1610,2016-05-26,18975.0
1609,2016-05-27,18786.0
1608,2016-05-30,18730.0
1607,2016-05-31,18943.0
1606,2016-06-01,18837.0
1605,2016-06-02,19079.0
1604,2016-06-03,19151.0
1603,2016-06-07,19216.0
1602,2016-06-08,19274.0
1601,2016-06-09,18958.0
1600,2016-06-10,19090.0
1599,2016-06-13,19827.0
1598,2016-06-14,19588.0
1597,2016-06-15,19347.0
1596,2016-06-16,19137.0
1595,2016-06-17,19152.0
1594,2016-06-20,18244.0
